,Departamento de ocurrencia | Grupos de causas de defunción (lista colombia 105 para la tabulación de mortalidad),,Total,Total,,,Menor 1 hora,,,De 1 a 23 horas,,,De 1 a 6 días,,,De 7 a 27 dias,,,De 28 a 29 días,,,De 1 a 5 meses,,,De 6 a 11 meses,,,De 1 año,,,De 2 a 4 años,,,De 5 a 9 años,,,De 10 a 14 años,,,De 15 a 19 años,,,De 20 a 24 años,,,De 25 a 29 años,,,De 30 a 34 años,,,De 35 a 39 años,,,De 40 a 44 años,,,De 45 a 49 años,,,De 50 a 54 años,,,De 55 a 59 años,,,De 60 a 64 años,,,De 65 a 69 años,,,De 70 a 74 años,,,De 75 a 79 años,,,De 80 a 84 años,,,De 85 a 89 años,,,De 90 a 94 años,,,De 95 a 99 años,,,De 100 años y más,,,Edad desconocida,,,2022,defunciones,Cuadro11,cuadro11,
,,,,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,Hombres,Mujeres,Indeterminado,2022,defunciones,Cuadro11,cuadro11,
3.0,,006 Todas las demás enfermedades bacterianas,442,261,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,1,0,1,1,0,4,1,0,1,1,0,2,2,0,4,1,0,7,2,0,6,1,0,4,6,0,7,3,0,8,6,0,13,8,0,5,6,0,27,12,0,32,16,0,31,20,0,26,19,0,32,20,0,16,20,0,23,19,0,7,9,0,0,2,0,0,2,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,007 Sífilis y otras enfermedades venéreas,52,32,20,0,0,0,0,4,4,0,4,4,0,2,1,0,0,0,0,1,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,4,2,0,2,0,0,2,0,0,2,0,0,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,008 Hepatitis viral y secuelas,122,70,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,3,2,0,3,2,0,2,2,0,3,0,0,4,4,0,8,1,0,7,4,0,4,6,0,7,0,0,7,9,0,5,6,0,6,7,0,5,2,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,009 Enfermedad por el VIH (SIDA),2298,1793,505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,7,3,0,89,22,0,209,43,0,279,78,0,231,80,0,232,75,0,166,53,0,163,53,0,147,36,0,106,32,0,77,16,0,40,7,0,23,3,0,14,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,010 Todas las demás enfermedades infecciosas y parasitarias,13910,8037,5873,0,0,0,0,1,0,0,1,1,0,1,3,0,0,0,0,25,37,0,22,14,0,12,10,0,14,13,0,10,14,0,17,11,0,19,9,0,36,34,0,63,42,0,75,40,0,73,54,0,93,76,0,130,99,0,194,139,0,282,214,0,493,345,0,673,443,0,926,581,0,1073,715,0,1364,865,0,1227,1030,0,862,726,0,309,290,0,42,68,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,"011 Tumores malignos del labio, de la cavidad bucal y de la faringe",872,527,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,2,0,4,3,0,3,7,0,9,8,0,15,8,0,23,16,0,37,21,0,62,31,0,65,30,0,72,43,0,62,36,0,71,42,0,44,47,0,38,23,0,13,18,0,4,6,0,2,3,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,012 Tumor maligno del esófago,662,444,218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,2,3,0,3,8,0,4,2,0,12,9,0,34,14,0,46,22,0,80,25,0,73,31,0,76,29,0,56,32,0,37,27,0,17,8,0,2,5,0,0,1,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,013 Tumor maligno del estómago,5261,3173,2087,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,5,8,0,21,20,0,45,52,0,74,78,0,104,99,0,140,118,0,196,160,0,295,177,0,389,180,1,438,202,0,433,227,0,408,214,0,323,253,0,202,177,0,74,88,0,24,26,0,0,7,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,"014 Tumor maligno del colon, de la unión rectosigmoidea, recto y ano",4631,2200,2431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,9,11,0,12,22,0,23,21,0,34,34,0,66,67,0,91,81,0,125,158,0,201,223,0,248,248,0,296,309,0,317,328,0,269,286,0,269,271,0,160,224,0,62,118,0,15,26,0,1,2,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,015 Tumor maligno del hígado,2036,1058,978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,3,2,0,0,1,0,1,1,0,5,1,0,4,3,0,3,3,0,12,5,0,19,8,0,27,19,0,51,39,0,85,72,0,133,106,0,165,123,0,164,145,0,156,139,0,113,140,0,82,107,0,26,45,0,5,16,0,1,1,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,016 Tumor maligno de la vesícula biliar y de las vías biliares,1162,410,752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,4,0,3,4,0,7,7,0,15,32,0,27,53,0,36,62,0,51,104,0,55,87,0,62,103,0,66,104,0,49,90,0,17,60,0,11,33,0,5,7,0,2,1,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,017 Tumor maligno del páncreas,2341,1116,1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,8,8,0,12,11,0,25,18,0,40,36,0,60,55,0,125,100,0,149,132,0,176,144,0,163,192,0,149,191,0,118,157,0,67,99,0,21,61,0,2,14,0,0,3,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,018 Todos los demás tumores malignos de los órganos digestivos y del peritoneo,653,331,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,2,0,3,1,0,6,6,0,8,8,0,10,12,0,11,17,0,18,19,0,25,25,0,45,29,0,40,41,0,59,41,0,44,46,0,37,38,0,16,18,0,3,15,0,1,2,0,0,1,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,019 Tumor maligno de la laringe,377,310,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,3,1,0,5,4,0,11,3,0,21,5,0,29,4,0,46,10,0,53,8,0,62,11,0,36,6,0,22,9,0,16,3,0,3,1,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,"020 Tumor maligno de la tráquea, los bronquios y el pulmón",4477,2473,2004,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,3,1,0,3,3,0,6,6,0,10,10,0,13,15,0,41,26,0,53,50,0,67,80,0,188,146,0,317,201,0,392,266,0,453,324,0,383,292,0,308,272,0,141,204,0,71,75,0,15,28,0,3,5,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,"021 Todos los demás tumores malignos de los órganos respiratorios e intratorácicos, excepto tráquea, bronquios y pulmón",260,152,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,0,0,2,1,0,2,2,0,4,1,0,4,0,0,4,2,0,4,8,0,5,5,0,10,7,0,15,6,0,18,13,0,22,12,0,24,10,0,15,13,0,11,14,0,7,8,0,2,4,0,0,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,022 Tumor maligno de los huesos y de los cartílagos articulares,390,228,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,3,2,0,8,9,0,20,16,0,17,6,0,15,12,0,5,5,0,6,4,0,6,8,0,6,7,0,13,6,0,19,8,0,17,11,0,18,9,0,20,13,0,20,10,0,14,13,0,13,13,0,3,3,0,1,4,0,1,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,023 Melanoma y otros tumores malignos de la piel,1166,617,549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,3,0,0,3,0,0,4,7,0,7,11,0,16,6,0,18,19,0,19,25,0,40,25,0,62,27,0,69,47,0,85,39,0,70,74,0,67,79,0,66,81,0,66,58,0,14,38,0,3,13,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,024 Tumor maligno de la mama de la mujer,3757,0,3757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,27,0,0,76,0,0,133,0,0,239,0,0,294,0,0,357,0,0,477,0,0,440,0,0,437,0,0,362,0,0,306,0,0,276,0,0,180,0,0,104,0,0,38,0,0,9,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,025 Tumor maligno del cuello del útero,1894,0,1894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,39,0,0,63,0,0,155,0,0,173,0,0,157,0,0,198,0,0,201,0,0,189,0,0,185,0,0,166,0,0,127,0,0,122,0,0,69,0,0,31,0,0,7,0,0,2,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,026 Tumor maligno de otras partes del útero,855,0,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,10,0,0,13,0,0,30,0,0,38,0,0,46,0,0,108,0,0,126,0,0,141,0,0,130,0,0,91,0,0,59,0,0,33,0,0,18,0,0,6,0,0,3,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,027 Tumor maligno del ovario,1131,0,1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,8,0,0,9,0,0,16,0,0,22,0,0,57,0,0,75,0,0,126,0,0,139,0,0,162,0,0,172,0,0,102,0,0,105,0,0,64,0,0,47,0,0,18,0,0,4,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,028 Tumor maligno de la próstata,3427,3427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,2,0,0,6,0,0,45,0,0,84,0,0,205,0,0,370,0,0,514,0,0,604,0,0,661,0,0,533,0,0,297,0,0,87,0,0,15,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,029 Tumor maligno de la vejiga urinaria,522,354,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,1,0,0,1,0,8,3,0,6,6,0,10,10,0,31,7,0,41,19,0,56,22,0,52,29,0,66,31,0,44,18,0,29,15,0,7,5,0,1,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,030 Todos los demás tumores malignos de los órganos urinarios,835,503,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,6,0,0,1,0,1,0,0,2,2,0,2,2,0,1,2,0,5,3,0,12,4,0,20,11,0,34,9,0,57,34,0,60,44,0,78,47,0,70,44,0,56,39,0,50,30,0,37,30,0,14,14,0,2,7,0,0,1,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,"031 Tumor maligno del encéfalo, del ojo y de otras partes del sistema nervioso central",1658,873,785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,6,0,19,11,0,19,17,0,18,20,0,15,22,0,22,9,0,24,26,0,25,22,0,36,14,0,51,41,0,52,44,0,73,55,0,84,78,0,96,95,0,101,83,0,93,63,0,64,61,0,40,60,0,25,36,0,13,17,0,0,4,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,032 Tumor maligno del tiroides y de otras glándulas endocrinas,579,207,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,4,2,0,4,0,0,3,1,0,2,2,0,2,0,0,2,0,0,2,5,0,4,4,0,5,8,0,3,10,0,6,14,0,17,17,0,28,61,0,38,60,0,29,52,0,19,45,0,19,42,0,13,33,0,2,10,0,2,4,0,0,1,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,033 Tumores malignos de sitios mal definidos y secundarios,374,206,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,2,0,3,3,0,2,1,0,1,1,0,2,3,0,0,3,0,9,2,0,3,9,0,9,5,0,20,8,0,23,12,0,32,12,0,25,19,0,27,22,0,21,26,0,17,20,0,10,12,0,1,5,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,034 Tumor maligno de sitios no especificados,1795,842,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,10,3,0,3,1,0,8,13,0,13,11,0,22,37,0,19,35,0,38,51,0,67,95,0,100,103,0,116,111,0,142,127,0,103,107,0,93,114,0,65,82,0,38,45,0,3,16,0,0,1,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,035 Leucemia,1872,1030,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,7,1,0,18,16,0,33,26,0,47,29,0,69,21,0,59,24,0,52,33,0,41,34,0,37,28,0,52,34,0,34,34,0,58,40,0,44,63,0,67,68,0,70,84,0,89,78,0,101,71,0,81,79,0,49,51,0,15,19,0,6,5,0,0,1,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,"036 Todos los demás tumores malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines",2404,1326,1078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,1,0,6,4,0,8,8,0,11,2,0,28,7,0,24,13,0,23,22,0,25,20,0,40,29,0,47,36,0,77,65,0,135,81,0,162,122,0,182,150,0,202,158,0,151,131,0,125,114,0,55,80,0,15,28,0,4,6,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,"037 Tumores: in situ, benignos y de comportamiento incierto o desconocido y los no especificados",3502,1792,1710,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,5,0,0,4,2,0,9,2,0,8,8,0,10,6,0,15,11,0,17,14,0,19,19,0,29,23,0,34,40,0,48,45,0,54,75,0,84,92,0,128,138,0,183,105,0,196,181,0,227,198,0,251,225,0,213,213,0,149,191,0,80,82,0,20,36,0,5,3,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,038 Todos los demás tumores malignos de otras localizaciones,1056,658,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,4,4,0,4,2,0,16,3,0,34,4,0,52,8,0,39,3,0,35,14,0,36,18,0,22,21,0,43,24,0,55,39,0,58,38,0,59,43,0,65,40,0,40,51,0,46,33,0,23,27,0,16,16,0,8,7,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,"039 Anemias: nutricionales, hemolíticas, aplásticas y otras",730,350,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,1,0,4,4,0,3,3,0,7,7,0,5,5,0,9,9,0,7,9,0,4,6,0,6,10,0,8,8,0,8,9,0,12,17,0,13,10,0,14,14,0,23,22,0,27,36,0,27,29,0,36,26,0,47,46,0,41,47,0,30,43,0,8,12,0,7,5,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,"040 Defectos de coagulación, púrpura y otras afecciones hemorrágicas y de la sangre y los trastornos que afectan la inmunidad",674,312,362,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,11,0,6,5,0,5,6,0,5,8,0,2,2,0,3,6,0,7,4,0,11,5,0,8,8,0,6,9,0,13,15,0,9,13,0,21,18,0,11,20,0,22,16,0,21,23,0,31,35,0,26,37,0,23,29,0,28,28,0,22,32,0,12,21,0,3,10,0,0,1,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,041 Diabetes mellitus,8703,3977,4725,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,2,3,0,2,8,0,14,10,0,15,18,0,26,17,0,38,31,0,65,54,0,109,93,0,169,155,0,280,263,0,403,413,0,517,488,0,553,546,0,538,648,1,542,696,0,380,654,0,214,422,0,90,169,0,17,37,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,042 Deficiencias nutricionales,2308,1167,1141,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,70,58,0,65,49,0,61,53,0,21,23,0,5,4,0,5,8,0,7,5,0,5,3,0,13,7,0,21,10,0,15,6,0,15,11,0,22,14,0,16,14,0,36,16,0,46,26,0,71,44,0,75,55,0,127,88,0,145,154,0,156,187,0,109,178,0,48,94,0,11,32,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,043 Todas las demás enfermedades endocrinas y nutricionales,2895,1469,1426,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,8,11,0,10,5,0,5,5,0,12,6,0,6,5,0,3,9,0,10,12,0,11,8,0,16,15,0,24,8,0,25,13,0,40,32,0,58,32,0,80,53,0,105,54,0,126,89,0,137,94,0,153,140,0,167,122,0,159,216,0,168,234,0,84,156,0,52,85,0,8,21,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,044 Trastornos mentales y del comportamiento,1807,769,1038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,2,1,0,4,4,0,9,0,0,10,3,0,15,2,0,12,4,0,17,1,0,14,5,0,28,11,0,45,13,0,29,30,0,53,49,0,87,81,0,125,162,0,139,227,0,118,259,0,48,139,0,11,45,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
3.0,,045 Meningitis y otras enfermedades inflamatorias del sistema nervioso central,533,325,208,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,8,0,6,2,0,6,5,0,8,11,0,9,7,0,8,3,0,11,6,0,18,6,0,12,6,0,19,8,0,15,3,0,22,12,0,11,11,0,17,12,0,27,18,0,32,17,0,21,17,0,27,16,0,13,14,0,16,15,0,4,8,0,4,3,0,1,0,0,0,0,0,0,0,0,2022,defunciones,Cuadro11,cuadro11,
